name;region;city;address
"Рязанский институт (филиал) Московского политехнического университета

/ Прежние наименования /


до 2016 г. - Рязанский институт (филиал) Московского государственного машиностроительного университета (МАМИ)
до 2013 г. - Рязанский институт (филиал) Московского государственного открытого университета

";Рязанская область;Рязань;"390046, г. Рязань, ул. Колхозная, д. 2а"
"Рязанский институт экономики филиал Санкт-Петербургского университета управления и экономики
";Рязанская область;Рязань;"390023, г. Рязань, ул. Электрозаводская, д. 52"
"Рязанский филиал Академии права и управления (института)
";Рязанская область;Рязань;"390010, Рязанская область, г. Рязань, пр. Шабулина, д. 25"
"Рязанский филиал Академического правового института

/ Прежние наименования /


до 30.03.2005 - Рязанский филиал Академического правового университет(института)

";Рязанская область;Рязань;"390046, Рязанская область, г. Рязань, ул. Есенина, д. 116/1"
"Рязанский филиал Московского государственного университета путей сообщения
";Рязанская область;Рязань;"390013, г. Рязань, ул. Семинарская, д. 44/3"
"Рязанский филиал Московского университета Министерства внутренних дел Российской Федерации

/ Прежние наименования /


до 2002 г. - Рязанский филиал Московского института МВД

";Рязанская область;Рязань;"390046, г. Рязань, ул. Введенская, д. 106"
"Рязанский филиал Современной гуманитарной академии
";Рязанская область;Рязань;"390047, Рязанская область, Рязанский район, г. Рязань, Куйбышевское шоссе, д. 41"
"Рязанское высшее воздушно-десантное командное училище (военный институт) имени генерала армии В.Ф. Маргелова (филиал) Военного учебно-научного центра Сухопутных войск ""Общевойсковая академия Вооруженных Сил Российской Федерации""

/ Прежние наименования /


до 09.07.2004 - Рязанский институт воздушно-десантных войск

";Рязанская область;Рязань;"390031, г. Рязань, площадь им. генерала армии В.Ф. Маргелова, д. 1"
"Современный технический институт
";Рязанская область;Рязань;"390048, г. Рязань, ул. Новоселов, д. 35 А"
"Филиал Московского института экономики, менеджмента и права в г. Рязани
";Рязанская область;Рязань;"390013, Рязанская область, город Рязань, Первомайский проспект, дом 62"
